Id,from,to,fromout,fromin,toout,toin,width,exist
1,2280555,2507225,338,30,0,10,0,1
2,279830,666910,135,21,0,34,4,1
3,2358588,4803750,314,610,7561,1999,31,1
4,2278640,292801,87,3,0,1,0,1
5,1911583,735189,208,30,0,11,2,1
6,3739551,2583486,676,309,1950,190,13,1
7,194949,61512,83,30,0,1,0,1
8,1564138,4340282,964,263,967,328,36,1
9,620560,1301978,291,8,0,4,1,1
10,2450053,3559546,84,4,0,61,0,1
11,316309,3867088,1960,161,0,116,26,1
12,3286906,1110095,12,12,97,131,7,1
13,825245,4176633,1645,109,0,1,0,1
14,4764114,496827,35,4,129,555,9,1
15,2496703,1092547,67,12,0,122,1,1
16,3176272,2838985,584,507,0,1,0,1
17,3501749,1122807,123,17,0,3,0,1
18,1172726,2367202,103,7,0,41,0,1
19,3854204,1902089,41,6,0,2,1,1
20,1452963,,0,25,0,0,0,0
21,1020920,4654678,281,49,0,33,1,1
22,2959038,2927295,2,8,0,26,0,1
23,2022191,2674281,262,44,0,5,3,1
24,4260581,2548144,185,44,917,389,31,1
25,1009377,,0,1,0,0,0,0
26,1244482,2441769,172,164,0,4,0,1
27,3183730,1699583,961,69,383713,2022,26,1
28,3988427,178812,157,10,0,15,0,1
29,172564,2791255,73,20,11757,1505,17,1
30,3790306,1456377,11,47,0,148,3,1
31,3100746,4477229,1912,663,0,9,4,1
32,208574,912568,244,16,0,42,5,1
33,1463452,2131504,18,1,0,7,0,1
34,3722158,3294537,350,74,0,8,2,1
35,1539456,1875999,546,31,0,6,2,1
36,16819,1034190,78791,1609,0,20,17,1
37,2672784,2777606,1425,144,0,422,27,1
38,3136070,1352620,1134,193,0,97,10,1
39,233164,1062166,73,1,166,616,4,1
40,4152542,1238709,307,137,287,50,8,1
41,602822,1842384,94,23,0,10,8,1
42,491843,2050270,319,165,0,5,0,1
43,3478317,1490648,354,52,0,16,5,1
44,3626663,815940,5929,631,0,69,16,1
45,4732923,4571819,69,9,554,2951,9,1
46,1099367,650779,406,40,0,609,15,1
47,1967684,2650882,210,102,0,119,11,1
48,226541,1989535,104,43,3969,331,4,1
49,775593,1078940,161,39,21104,1820,59,1
50,1431070,2399520,5975,317,0,437,95,1
51,2625174,2603490,272,621,996,1035,65,1
52,607115,3670100,59,17,0,1,0,1
53,23266,4613811,71,5,238,920,2,1
54,1235822,1200921,739,31,0,3,0,1
55,2506958,2678411,101966,1483,0,43,37,1
56,4267110,3191423,148,39,0,24,2,1
57,2974874,1780619,1365,81,0,64,24,1
58,2686689,743507,112,117,0,78,24,1
59,3886900,2331146,3,2,0,1,0,1
60,4065737,1274403,68,22,286,592,5,1
61,1721573,3292078,1981,217,0,31,8,1
62,4658735,3363865,80,5,54,1643,3,1
63,1255671,3291484,18,58,0,18,2,1
64,858485,1758089,181,13,0,695,2,1
65,1099773,1054092,653,540,0,8,2,1
