Id,from,to,fromout,fromin,toout,toin,width,exist,distance
1,1998877,4255707,90,7,0,12,0,1,0
2,4764268,1064393,584,29,0,8,0,1,0
3,4744504,3344642,21,18,0,11,1,1,0
4,3009618,615811,170,202,0,1,0,1,0
5,32889,3363865,347,68,54,1643,16,1,0
6,40073,4477273,139,78,535,298,7,1,0
7,3088832,5251,261,131,301,300,11,1,0
8,4405113,1110095,5,6,97,131,4,1,0
9,3876287,4741875,216,25,0,193,17,1,0
10,3590207,3044750,25,7,226,480,7,1,0
11,4406926,1654830,36,12,36,11,7,1,0
12,2348693,1463243,168,114,248,106,58,1,0
13,2858319,4570416,222,77,827,218,47,1,0
14,573229,4417654,73,11,0,29,2,1,0
15,767856,1312958,335,138,0,53,1,1,0
16,4511535,1413238,41,8,8,1748,1,1,0
17,2865581,4198979,1,2,0,1,0,1,0
18,3075594,4453917,43,4,0,6,1,1,0
19,3789948,4782846,411,41,0,359,3,1,0
20,2195397,2211880,124,6,179,620,16,1,0
21,2937543,2278434,284,77,356,127,32,1,0
22,1812022,1612442,878,290,33398,907,111,1,0
23,4846570,61818,31,6,0,24,0,1,0
24,1368566,1257270,41,18,1205,247,2,1,0
25,961755,3699067,145,43,0,16,2,1,0
26,3994786,139195,266,62,3189,510,23,1,0
27,743183,979387,171,74,0,20,1,1,0
28,4067626,1964871,637,39,0,60,0,1,0
29,2799866,2966952,268,50,0,37,3,1,0
30,2132609,1414580,17980,585,0,1,0,1,0
31,4534353,4421275,287,79,0,34,4,1,0
32,2045063,4453552,213,97,15,90,15,1,0
33,2195129,1674965,49,219,222,189,3,1,0
34,1192867,1548281,453,183,0,26,1,1,0
35,2985358,2341755,1224,33,0,1,0,1,0
36,1970818,3838822,1,72,0,268,0,1,0
37,3082863,2405990,30,10,57,903,9,1,0
38,2477297,4335541,4,2,0,10,0,1,0
39,4124486,1755831,68,12,0,10,0,1,0
40,4757844,841054,1051,309,0,66,18,1,0
41,2393326,2113637,414,52,0,5,1,1,0
42,1444839,3224706,103,10,165,170,5,1,0
43,1636891,896242,155,2,60,1794,4,1,0
44,974827,796692,191,224,369,242,29,1,0
45,3039492,4102355,5634,69,0,1,0,1,0
46,3298191,4086223,32,18,56,339,12,1,0
47,1184117,3340250,41,3,0,10,0,1,0
48,3702672,1844286,65,7,0,48,1,1,0
49,1690949,3064590,386,225,0,99,5,1,0
50,3915709,405838,676,48,0,35,7,1,0
51,1284996,1768219,1,1,102,210,0,1,0
52,4116531,4501016,209,20,0,111,1,1,0
53,4043729,2141460,39,11,0,24,0,1,0
54,743301,2267102,96,15,0,44,0,1,0
55,3052523,3481520,372,886,152,54,29,1,0
56,1942472,3170010,607,120,120,42,8,1,0
57,2298428,134107,40,141,3,3035,7,1,0
58,2795,3438578,2102,249,0,23,8,1,0
59,1593842,498726,154,79,118,46,23,1,0
60,561120,2412566,75,18,0,29,0,1,0
61,2691611,3116729,98,51,32035,1337,24,1,0
62,2223574,2897375,25,3,0,1,0,1,0
63,968573,1733811,1967,93,25,103,0,1,0
64,16819,2741231,78791,1609,0,91,47,1,0
65,2805288,302843,48,8,0,2,0,1,0
66,2571223,4302542,67,3,0,3,0,1,0
67,3308008,3010569,103,64,0,5,1,1,0
68,161172,4472521,77,45,0,4,1,1,0
69,2283599,3020386,85,83,0,27,3,1,0
70,4748644,764689,298,49,0,28,0,1,0
71,2960897,84324,506,290,0,2,1,1,0
72,4560226,2855246,139,58,404,134,15,1,0
73,876396,650642,277,32,908,3432,51,1,0
74,2111531,1148069,477,32,0,41,0,1,0
75,386045,4039202,416,24,0,43,3,1,0
76,2321100,828038,164,55,0,1,0,1,0
77,2208865,27887,57,8,0,51,0,1,0
78,4544255,2426634,696,171,0,4,1,1,0
79,1383243,2827162,109,6,0,3,0,1,0
80,1712559,3924140,31,14,0,2,1,1,0
81,552501,3111964,411,33,0,9,0,1,0
82,4218937,4520864,593,36,0,62,4,1,0
83,2361341,3341822,287,194,0,1,0,1,0
84,3706841,1048370,92,15,1118,1413,12,1,0
85,4473633,54629,179,15,0,1,0,1,0
86,1935626,4712893,100,7,0,1,0,1,0
87,2286499,3780938,47,21,0,4,0,1,0
88,1613045,1950568,198,52,0,10,1,1,0
89,1535914,375457,870,102,0,1,0,1,0
90,182543,4081274,582,50,0,27,2,1,0
91,484359,975071,1267,60,0,13,1,1,0
92,714278,2487042,718,18,0,198,8,1,0
93,1727860,2405584,74,26,50,64,27,1,0
94,810880,4633374,185,53,0,35,9,1,0
95,3305277,1896868,269,53,0,3,1,1,0
96,4037300,4265248,4322,312,0,163,84,1,0
97,4075875,4721200,4568,490,0,1,0,1,0
98,1756828,360242,1,3,0,4,0,1,0
99,1088253,3197262,45,5,0,33,0,1,0
100,2596241,4261463,95,4,0,1,0,1,0
101,3445512,1324077,1996,44,0,41,10,1,0
102,2793431,3667748,916,253,0,207,20,1,0
103,1309158,779064,727,12,0,2,0,1,0
104,4156800,3502994,11,659,17,772,1,1,0
105,1484638,1257270,202,77,1205,247,19,1,0
106,2502252,159472,43,9,164,22,1,1,0
