@relation trainset-weka.filters.unsupervised.attribute.NumericToNominal-R9-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute fromout numeric
@attribute fromin numeric
@attribute toout numeric
@attribute toin numeric
@attribute width numeric
@attribute exist {0,1}

@data
58,5,576,2203,2,1
2161,124,0,65,44,1
2001,177,0,8,3,1
1501,64,0,2,1,1
221,53,3486,418,14,1
471,14,0,4,1,1
179,69,384,214,3,1
1883,88,0,25,6,1
173,17,0,6,1,1
2001,118,0,4,0,1
366,59,0,49,5,1
224,88,61,41,30,1
18915,1036,0,37,21,1
274,19,0,2,1,1
695,251,6408,356,9,1
120,42,959,263,16,1
405,29,237,442,17,1
103,6,0,1,0,1
847,47,0,2,1,1
121,48,0,6,0,1
1065,208,72,14,3,1
1950,190,0,90,50,1
45,5,0,3,0,1
1053,92,123,29,4,1
2,7,0,8,0,1
401,51,705,73,9,1
191,50,142,489,8,1
221,169,191,83,39,1
10108,578,0,135,65,1
4802,271,0,3,1,1
2904,127,60088,2152,78,1
168,48,0,18,5,1
87,58,50,52,15,1
463,16,0,8,1,1
1040,60,0,8,4,1
41,2,0,1,0,1
26,14,0,307,1,1
249,95,122,48,23,1
420,80,165,59,11,1
115,33,0,7,0,1
1042,44,89464,1630,16,1
171,27,23531,246,4,1
181,27,0,1,0,1
3409,275,0,140,29,1
22,11,206,250,17,1
170,163,0,2,1,1
1344,255,0,208,56,1
64,5,0,3,0,1
54,43,14576,2084,23,1
286,123,0,146,4,1
1496,77,0,80,11,1
79,5,0,218,1,1
1928,77,0,34,12,1
120,22,0,145,0,1
449,58,0,9,1,1
32,8,0,59,1,1
22,1,28,202,1,1
0,3,0,0,0,0
414,48,0,159,3,1
475,137,805,317,34,1
1087,58,0,10,1,1
5,20,0,12,0,1
600,48,0,33,0,1
40,7,0,14,1,1
16,4,27,4,1,1
832,469,0,184,32,1
1456,241,0,626,47,1
163,7,0,8,2,1
270,80,0,9,5,1
31,26,0,10,1,1
126,68,6089,818,29,1
135,45,0,38,6,1
26,37,155,153,9,1
79,15,10,83,4,1
498,54,0,1,0,1
430,85,0,81,9,1
109,52,0,27,0,1
70,3,0,1,0,1
193,18,0,235,2,1
193,18,0,39,0,1
281,104,0,11,4,1
496,448,8836,817,68,1
95,7,0,43,1,1
32319,746,0,8,4,1
171,17,0,1,0,1
372,131,732,266,34,1
217,70,0,1,0,1
964,59,0,86,2,1
1944,32,0,50,3,1
6329,309,14258,268,63,1
32,20,0,21,6,1
194,68,0,22,10,1
175,47,181,56,4,1
1308,26,0,5,0,1
5273,102,0,92,47,1
137,33,10108,578,22,1
108,36,0,5,1,1
411,46,0,4,0,1
36,110,55,296,7,1
163,71,0,193,8,1
1456,1227,0,15,1,1
125,39,4229,866,41,1
213,1349,167,197,18,1
65,19,0,21,7,1
221,56,0,5,3,1
10,5,0,6,0,1
199,97,244,449,32,1
2,2,18,3654,0,1
84,1,0,88,1,1
48,4,0,2,0,1
4218,105,5192,130,68,1
93,26,20,24,1,1
0,3,0,0,0,0
363,77,39,627,1,1
1558,1316,0,94,13,1
520,58,0,29,2,1
351,32,0,4,2,1
883,238,0,199,37,1
3,1,0,7,0,1
290,23,0,7,1,1
945,64,0,471,31,1
3,24,0,5,0,1
373,137,9420,317,46,1
5,5,220,657,2,1
73,54,1011,110,5,1
15,42,27,175,0,1
177,14,0,9,4,1
66,11,0,3,0,1
906,35,45,21,5,1
1456,241,3060,293,64,1
13,14,0,84,0,1
266,10,0,54,6,1
232,32,0,3,2,1
413,52,155,143,31,1
11,5,0,3,0,1
166,36,0,2,0,1
119,12,0,2,0,1
14,29,37,54,7,1
12,5,0,35,1,1
42,5,0,92,0,1
18,14,26,9,5,1
1017,211,0,38,10,1
122,49,0,15,1,1
1238,85,0,1,0,1
97,44,0,19,1,1
122,37,11757,1505,29,1
271,17,0,71,1,1
2505,83,16,1119,29,1
20,24,0,3,0,1
726,163,0,2,1,1
43,7,0,2,0,1
20,31,14,147,17,1
705,73,0,15,0,1
22,7,25,103,9,1
78,7,0,64,2,1
173,13,0,15,3,1
385,102,0,332,12,1
59,35,23,12,10,1
98,11,0,1,0,1
6,4,69,20,4,1
1051,366,0,20,6,1
223,68,0,4,0,1
306,110,78,300,7,1
1522,126,0,12,4,1
1864,219,0,286,42,1
250,294,0,26,1,1
149,45,0,3,2,1
93,750,0,1,0,1
190,16,29,567,3,1
31,62,708,146,10,1
0,33,0,0,0,0
251,14,0,27,3,1
4704,450,0,163,43,1
119,3,0,24,3,1
1955,165,0,1198,104,1
72,5,49,377,6,1
187,319,0,76,4,1
