@relation trainset-weka.filters.unsupervised.attribute.NumericToNominal-R9-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute fromout numeric
@attribute fromin numeric
@attribute toout numeric
@attribute toin numeric
@attribute width numeric
@attribute exist {0,1}

@data
1547,128,0,223,10,1
1014,131,517,430,31,1
1962,63,0,361,31,1
210,28,0,57,3,1
58,3,0,140,0,1
1167,26,0,1,0,1
225,198,453,84,5,1
32,12,76,138,6,1
349,32,0,8,0,1
9303,59,0,19,0,1
1,2,269,72,0,1
194,47,0,4,2,1
193,24,9779,651,13,1
4,3,120,91,1,1
35,2,84,5,1,1
359,73,0,14,6,1
78,7,0,2,0,1
1533,1412,0,19,9,1
278,100,0,17,12,1
180,18,0,65,2,1
136,57,0,7,0,1
333,474,538,689,49,1
299,17,20786,475,11,1
37,1,91,515,13,1
117,25,0,3,2,1
1995,80,0,50,13,1
257,10,0,3,0,1
231,125,0,124,17,1
6879,303,0,139,76,1
43,9,0,31,0,1
339,21,124,1789,1,1
11,57,26,1444,2,1
1159,82,0,1,0,1
0,71,0,0,0,0
11317,138,0,1,0,1
7871,131,0,43,17,1
34,3,0,7,0,1
415,23,0,1,0,1
24,291,0,114,0,1
90,35,0,5,0,1
0,2,0,0,0,0
4,10,0,51,0,1
82,10,0,51,1,1
54,14,57,15,11,1
1,4,0,56,0,1
129,16,0,393,2,1
0,3,0,0,0,0
350,24,0,7,0,1
23,3,17,297,0,1
131,38,86,22,10,1
1789,98,0,40,4,1
9,2,0,1,0,1
2204,332,0,42,10,1
5,5,0,1,0,1
314,164,0,20,1,1
383,103,0,10,1,1
132,20,0,28,6,1
684,33,77787,1455,29,1
449,21,0,5,2,1
42,6,0,3,1,1
446,38,0,3,1,1
3,1,0,2,0,1
136,22,0,1,0,1
120,36,0,7,0,1
1245,130,0,138,14,1
11,5,42,12,0,1
1096,34,0,62,4,1
135,21,32035,1337,32,1
124,39,0,22,6,1
14,316,18,3654,1,1
1936,157,0,102,18,1
78,80,0,393,6,1
59,37,124,23,10,1
6,4,24,37,4,1
22,7,0,5,1,1
122,26,554,154,16,1
541,12,0,7,1,1
72,5,0,27,0,1
663,221,0,49,5,1
271,15,0,1,0,1
78,9,0,129,3,1
5749,332,0,54,25,1
2577,141,0,47,18,1
100,71,0,609,9,1
183,35,0,18,2,1
105,42,0,26,0,1
525,53,0,2,1,1
126,34,0,20,6,1
1,1,0,1,0,1
262,44,0,25,13,1
31,10,4519,2239,8,1
93,28,0,70,5,1
29,7,7,8,4,1
68,1,0,1,0,1
2556,224,0,109,39,1
307,102,0,2,0,1
221,11,0,7,4,1
206,20,2,4,0,1
97,20,20739,397,2,1
2,8,122,98,1,1
17,6,0,6,3,1
141,5,4638,384,3,1
48,45,27,175,0,1
202,47,670,179,28,1
258,133,336,840,41,1
56,13,0,1,0,1
106,6,0,6,1,1
42,67,0,160,5,1
139,22,0,27,0,1
430,74,0,147,11,1
1888,222,0,38,16,1
295,37,1078,189,13,1
1397,157,0,1586,110,1
288,23,0,12,5,1
126,26,0,16,14,1
53,10,0,2,0,1
2000,190,0,25,11,1
2647,193,680,532,71,1
540,63,20426,816,21,1
1943,83,0,44,9,1
760,115,11757,1505,91,1
279,2,0,2,0,1
60,12,5262,1345,2,1
10073,126,0,2,0,1
19,43,0,5,0,1
29,5,2,171,1,1
92,32,0,1,0,1
57,20,0,8,2,1
1054,157,0,116,19,1
103,22,944,136,13,1
81,31,71,11,2,1
19,87,16,48,0,1
